Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:58060000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58060000;1;01/05/2020;;1;1;7,29;5,069;5,845;8;28;1;1;1;0;0;6,053;6,196;6,995;6,485;6,196;5,911;6,995;7,29;6,485;6,053;5,769;5,769;5,769;5,769;6,485;6,268;5,769;5,769;5,627;5,627;5,557;5,486;5,416;5,346;5,346;5,346;5,138;5,069;5,069;5,069;5,069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58060000;1;01/04/2020;;1;1;8,263;6,125;7,129;8;30;1;1;1;;0;7,886;7,961;7,662;7,886;7,736;7,513;7,513;8,263;7,886;7,587;7,364;7,364;7,216;7,216;7,216;6,922;6,922;6,922;6,922;6,849;6,776;6,776;6,776;6,485;6,485;6,485;6,485;6,485;6,196;6,125;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/03/2020;;1;1;25,041;8,263;11,56;1;29;1;1;1;;0;25,041;24,86;16,487;14,906;13,272;12,62;11,858;11,609;11,364;10,76;10,29;10,058;9,716;9,491;9,258;9,336;11,858;10,29;9,104;9,027;12,62;10,406;13,672;9,336;9,181;8,797;8,415;8,339;8,263;9,413;8,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58060000;1;01/02/2020;;1;1;26,143;7,216;13,492;11;1;1;1;1;0;0;7,216;9,491;11,486;10,173;7,886;10,76;10,642;16,194;9,027;13,806;26,143;20,213;15,188;13,141;11;9,716;9,258;8,873;8,491;10,406;25,041;22,563;15,047;11,486;11;18,929;18,929;15,759;13,405;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
58060000;1;01/01/2020;;1;1;65,158;4,386;10,225;17;2;1;1;1;;0;4,453;4,386;5,207;6,34;6,63;10,406;6,053;6,196;14,489;7,513;6,485;6,63;9,027;10,406;7,216;6,34;65,158;24,86;11,983;9,716;9,027;8,491;8,644;9,413;9,336;7,811;7,29;7,142;6,922;6,703;6,703;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/12/2019;;1;1;7,438;4,657;5,587;24;31;1;1;1;;0;5,698;6,557;6,412;5,486;5,207;5,627;5,911;5,277;5,069;4,999;6,34;5,627;6,776;5,911;5,557;4,931;4,793;5,207;5,277;5,138;5,557;5,277;7,142;7,438;6,125;5,416;5,138;5,069;4,862;4,725;4,657;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/11/2019;;1;1;9,603;3,986;5,55;29;5;1;1;1;;0;4,118;4,521;4,185;4,118;3,986;5,138;4,931;4,657;5,346;5,416;4,589;8,188;6,922;5,911;8,567;7,736;5,416;4,931;4,793;4,657;4,657;4,521;5,346;6,34;5,839;4,931;4,589;6,412;9,603;6,125;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/10/2019;;1;1;6,63;4,185;4,692;9;28;1;1;1;;0;4,862;4,793;4,657;4,521;4,453;4,453;4,521;5,416;6,63;5,416;5,069;4,657;4,453;4,319;4,252;4,252;4,386;4,725;4,725;5,486;5,416;4,725;4,521;4,657;4,319;4,252;4,252;4,185;4,319;4,453;4,319;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58060000;1;01/09/2019;;1;1;10,524;4,521;5,67;23;19;1;1;1;;0;5,839;6,63;6,268;5,698;5,769;7,216;5,839;5,486;5,138;5,069;4,862;4,793;4,793;4,793;4,862;4,793;4,657;4,589;4,521;4,521;4,521;7,069;10,524;5,982;5,839;5,627;5,416;7,069;6,63;5,277;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58060000;1;01/08/2019;;1;1;7,438;5,069;5,836;5;19;1;1;1;;0;5,486;5,486;6,703;7,29;7,438;6,196;5,769;5,486;5,486;5,346;5,346;5,277;5,207;6,412;6,63;5,557;5,277;5,207;5,069;5,982;7,29;6,849;6,63;5,839;6,053;5,698;5,346;5,207;5,207;5,069;5,069;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
