data;qmax
01/01/1989;520.154
01/02/1989;558.213
01/03/1989;468.311
01/04/1989;370.59
01/05/1989;226.524
01/06/1989;280.724
01/07/1989;308.51
01/08/1989;351.05
01/09/1989;202.489
01/10/1989;226.524
01/11/1989;261.271
01/12/1989;425.486
01/01/1990;342.883
01/02/1990;356.543
01/03/1990;318.909
01/04/1990;273.355
01/05/1990;244.775
01/06/1990;191.972
01/07/1990;204.623
01/08/1990;235.569
01/09/1990;261.271
01/10/1990;213.262
01/11/1990;196.148
01/12/1990;219.847
01/01/1991;672.474
01/02/1991;351.05
01/03/1991;802.975
01/04/1991;759.6
01/05/1991;278.258
01/06/1991;215.447
01/07/1991;213.262
01/08/1991;198.251
01/09/1991;244.775
01/10/1991;393.197
01/11/1991;150.223
01/12/1991;222.063
01/01/1992;839.721
01/02/1992;278.258
01/03/1992;228.77
01/04/1992;217.642
01/05/1992;249.438
01/06/1992;204.623
01/07/1992;351.05
01/08/1992;217.642
01/09/1992;273.355
01/10/1992;244.775
01/11/1992;295.732
01/12/1992;661.467
01/01/1993;268.491
01/02/1993;455.846
01/03/1993;393.197
01/04/1993;334.804
01/05/1993;213.262
01/06/1993;242.458
01/07/1993;202.489
01/08/1993;185.784
01/09/1993;316.295
01/10/1993;275.801
01/11/1993;288.183
01/12/1993;233.292
01/01/1994;194.055
01/02/1994;263.668
01/03/1994;321.534
01/04/1994;215.447
01/05/1994;345.596
01/06/1994;150.223
01/07/1994;157.981
01/08/1994;215.447
01/09/1994;181.711
01/10/1994;280.724
01/11/1994;231.026
01/12/1994;431.482
01/01/1995;256.508
01/02/1995;668.796
01/03/1995;345.596
01/04/1995;305.934
01/05/1995;189.899
01/06/1995;177.679
01/07/1995;240.152
01/08/1995;173.688
01/09/1995;298.267
01/10/1995;474.519
01/11/1995;367.647
01/12/1995;401.888
01/01/1996;825.297
01/02/1996;525.981
01/03/1996;806.973
01/04/1996;611.203
01/05/1996;345.596
01/06/1996;308.51
01/07/1996;290.69
01/08/1996;247.101
01/09/1996;490.341
01/10/1996;278.258
01/11/1996;636.109
01/12/1996;437.515
01/01/1997;654.176
01/02/1997;628.947
01/03/1997;311.095
01/04/1997;191.972
01/05/1997;324.168
01/06/1997;373.257
01/07/1997;208.922
01/08/1997;235.569
01/09/1997;311.095
01/10/1997;340.18
01/11/1997;593.693
01/12/1997;393.197
01/01/1998;455.846
01/02/1998;506.399
01/03/1998;356.543
01/04/1998;280.724
01/05/1998;311.095
01/06/1998;228.77
01/07/1998;270.918
01/08/1998;293.206
01/09/1998;353.792
01/10/1998;428.479
01/11/1998;228.77
01/12/1998;370.447
01/01/1999;759.6
01/02/1999;579.851
01/03/1999;512.889
01/04/1999;321.534
01/05/1999;270.918
01/06/1999;348.318
01/07/1999;326.812
01/08/1999;345.596
01/09/1999;378.906
01/10/1999;342.883
01/11/1999;351.05
01/12/1999;519.416
01/01/2000;1299.214
01/02/2000;434.494
01/03/2000;300.813
01/04/2000;393.197
01/05/2000;196.148
01/06/2000;206.767
01/07/2000;251.784
01/08/2000;235.569
01/09/2000;318.909
01/10/2000;194.055
01/11/2000;373.257
01/12/2000;431.482
01/01/2001;288.183
01/02/2001;318.909
01/03/2001;263.668
01/04/2001;293.206
01/05/2001;222.063
01/06/2001;217.642
01/07/2001;231.026
01/08/2001;273.355
01/09/2001;235.569
01/10/2001;288.183
01/11/2001;268.491
01/12/2001;566.159
01/01/2002;381.745
01/02/2002;428.479
01/03/2002;285.687
01/04/2002;183.743
01/05/2002;196.148
01/06/2002;211.087
01/07/2002;206.767
01/08/2002;200.365
01/09/2002;247.101
01/10/2002;258.885
01/11/2002;263.668
01/12/2002;359.305
01/01/2003;443.587
01/02/2003;345.596
01/03/2003;235.569
01/04/2003;147.651
01/05/2003;122.36
01/06/2003;165.804
01/07/2003;196.148
01/08/2003;183.743
01/09/2003;179.69
01/10/2003;249.438
01/11/2003;211.087
01/12/2003;200.365
01/01/2004;268.491
01/02/2004;621.822
01/03/2004;337.487
01/04/2004;273.355
01/05/2004;198.251
01/06/2004;283.201
01/07/2004;266.075
01/08/2004;102.731
01/09/2004;95.523
01/10/2004;160.582
01/11/2004;231.026
01/12/2004;247.101
01/01/2005;519.416
01/02/2005;740.247
01/03/2005;332.13
01/04/2005;293.206
01/05/2005;334.804
01/06/2005;171.053
01/07/2005;139.982
01/08/2005;179.69
01/09/2005;213.262
01/10/2005;258.885
01/11/2005;283.201
01/12/2005;324.168
01/01/2006;367.647
01/02/2006;586.753
01/03/2006;321.534
01/04/2006;359.305
01/05/2006;228.77
01/06/2006;235.569
01/07/2006;224.288
01/08/2006;204.623
01/09/2006;208.922
01/10/2006;263.668
01/11/2006;398.982
01/12/2006;404.804
01/01/2007;428.479
