dia	mes	ano	vazao
13	4	2019	55.252
12	4	2019	48.2991
11	4	2019	48.2991
10	4	2019	50.3712
9	4	2019	56.3784
8	4	2019	62.2446
7	4	2019	80.8426
6	4	2019	85.2652
5	4	2019	80.8426
4	4	2019	75.1911
3	4	2019	81.5687
2	4	2019	88.3029
1	4	2019	97.8542
31	3	2019	127.68
30	3	2019	138.846
29	3	2019	146.286
28	3	2019	160.809
27	3	2019	127.68
26	3	2019	167.83
25	3	2019	144.133
24	3	2019	110.747
23	3	2019	97.8542
22	3	2019	86.0179
21	3	2019	60.4434
20	3	2019	53.045
19	3	2019	50.8985
18	3	2019	53.591
17	3	2019	94.5964
16	3	2019	102.032
15	3	2019	56.3784
14	3	2019	64.7024
13	3	2019	93.7937
12	3	2019	59.8509
11	3	2019	63.4655
10	3	2019	64.0819
9	3	2019	68.5109
8	3	2019	73.1428
7	3	2019	82.2991
6	3	2019	104.596
5	3	2019	173.837
4	3	2019	185.013
3	3	2019	
2	3	2019	
1	3	2019	
28	2	2019	152.873
27	2	2019	161.965
26	2	2019	171.417
25	2	2019	179.987
24	2	2019	190.132
23	2	2019	206.065
22	2	2019	164.294
21	2	2019	112.549
20	2	2019	156.241
19	2	2019	175.055
18	2	2019	172.624
17	2	2019	146.286
16	2	2019	120.901
15	2	2019	88.3029
14	2	2019	106.329
13	2	2019	115.288
12	2	2019	119.01
11	2	2019	92.9955
10	2	2019	81.5687
9	2	2019	87.5367
8	2	2019	92.2019
7	2	2019	101.187
6	2	2019	108.965
5	2	2019	115.288
4	2	2019	98.6803
3	2	2019	82.2991
2	2	2019	54.1409
1	2	2019	57.5203
31	1	2019	73.1428
30	1	2019	94.5964
29	1	2019	119.01
28	1	2019	134.712
27	1	2019	85.2652
26	1	2019	91.413
25	1	2019	97.0327
24	1	2019	102.032
23	1	2019	105.46
22	1	2019	71.1326
21	1	2019	105.46
20	1	2019	104.596
19	1	2019	64.7024
18	1	2019	71.7984
17	1	2019	79.4037
16	1	2019	105.46
15	1	2019	80.8426
14	1	2019	91.413
13	1	2019	99.5111
12	1	2019	105.46
11	1	2019	156.241
10	1	2019	165.467
9	1	2019	173.837
8	1	2019	181.235
7	1	2019	191.427
6	1	2019	206.065
5	1	2019	237.58
4	1	2019	246.709
3	1	2019	200.658
2	1	2019	211.57
1	1	2019	252.925
31	12	2018	97.0327
30	12	2018	104.596
29	12	2018	115.288
28	12	2018	129.663
27	12	2018	97.0327
26	12	2018	91.413
25	12	2018	91.413
24	12	2018	95.4039
23	12	2018	100.347
22	12	2018	104.596
21	12	2018	109.854
20	12	2018	115.288
19	12	2018	116.211
18	12	2018	119.953
17	12	2018	151.762
16	12	2018	217.175
15	12	2018	227.222
14	12	2018	240.597
13	12	2018	252.925
12	12	2018	267.297
11	12	2018	289.019
10	12	2018	385.785
9	12	2018	375.452
8	12	2018	322.87
7	12	2018	234.589
6	12	2018	207.432
5	12	2018	171.417
4	12	2018	156.241
3	12	2018	264.057
2	12	2018	167.83
1	12	2018	
30	11	2018	125.932
29	11	2018	130.338
28	11	2018	84.3312
27	11	2018	77.7733
26	11	2018	81.0095
25	11	2018	82.3278
24	11	2018	81.0095
23	11	2018	84.3312
22	11	2018	89.8266
21	11	2018	94.8201
20	11	2018	152.876
19	11	2018	160.911
18	11	2018	257.986
17	11	2018	360.419
16	11	2018	477.29
15	11	2018	151.891
14	11	2018	195.761
13	11	2018	111.67
12	11	2018	91.9453
11	11	2018	87.0509
10	11	2018	79.0576
9	11	2018	61.1854
8	11	2018	89.8266
7	11	2018	208.774
6	11	2018	199.256
5	11	2018	192.305
4	11	2018	185.512
3	11	2018	194.605
2	11	2018	78.4137
1	11	2018	84.3312
31	10	2018	151.891
30	10	2018	130.338
29	10	2018	127.683
28	10	2018	133.03
27	10	2018	129.449
26	10	2018	60.0974
25	10	2018	62.2861
24	10	2018	134.844
23	10	2018	130.338
22	10	2018	79.0576
21	10	2018	85.0059
20	10	2018	86.3658
19	10	2018	55.3556
18	10	2018	93.3756
17	10	2018	97.7522
16	10	2018	101.499
15	10	2018	100.742
14	10	2018	59.5581
13	10	2018	63.3994
12	10	2018	66.2388
11	10	2018	82.3278
10	10	2018	87.0509
9	10	2018	91.2355
8	10	2018	94.8201
7	10	2018	98.4942
6	10	2018	88.4317
5	10	2018	50.3781
4	10	2018	51.3494
3	10	2018	49.8968
2	10	2018	51.8396
