iter	Passed	Remaining
576	12950	9494
577	12993	9486
578	13016	9464
579	13039	9442
580	13060	9418
581	13082	9395
582	13103	9372
583	13123	9348
584	13144	9324
585	13165	9301
586	13185	9276
587	13205	9252
588	13226	9229
589	13250	9207
590	13274	9186
591	13304	9169
592	13328	9148
593	13353	9127
594	13375	9104
595	13396	9080
596	13417	9057
597	13439	9034
598	13459	9010
599	13479	8986
600	13500	8962
601	13521	8939
602	13543	8916
603	13564	8893
604	13583	8868
605	13606	8846
606	13628	8823
607	13655	8804
608	13682	8784
609	13707	8763
610	13729	8740
611	13752	8719
612	13774	8696
613	13795	8672
614	13816	8649
615	13838	8626
616	13859	8603
617	13882	8580
618	13903	8557
619	13925	8535
620	13948	8513
621	13974	8492
622	13998	8471
623	14024	8450
624	14048	8429
625	14071	8406
626	14092	8383
627	14117	8362
628	14140	8340
629	14166	8320
630	14188	8297
631	14209	8273
632	14233	8252
633	14260	8232
634	14283	8210
635	14306	8188
636	14330	8166
637	14356	8145
638	14383	8125
639	14408	8104
640	14431	8082
641	14452	8059
642	14472	8035
643	14492	8011
644	14513	7987
645	14533	7964
646	14554	7940
647	14574	7917
648	14595	7893
649	14616	7870
650	14637	7846
651	14663	7826
652	14684	7803
653	14709	7782
654	14748	7768
655	14786	7753
656	14810	7732
657	14832	7709
658	14852	7685
659	14872	7661
660	14892	7637
661	14914	7614
662	14937	7592
663	14971	7575
664	15000	7556
665	15025	7535
666	15050	7514
667	15075	7492
668	15099	7470
669	15121	7448
670	15142	7424
671	15164	7401
672	15186	7378
673	15206	7355
674	15231	7333
675	15258	7313
676	15282	7291
677	15306	7269
678	15328	7246
679	15349	7223
680	15370	7200
681	15394	7177
682	15416	7155
683	15441	7133
684	15465	7111
685	15492	7091
686	15515	7068
687	15540	7047
688	15564	7025
689	15589	7003
690	15611	6981
691	15639	6960
692	15666	6940
693	15706	6925
694	15734	6904
695	15760	6883
696	15788	6863
697	15813	6841
698	15838	6820
699	15866	6799
700	15891	6778
701	15918	6757
702	15941	6734
703	15964	6712
704	15986	6689
705	16012	6668
706	16038	6646
707	16059	6623
708	16079	6599
709	16102	6577
710	16124	6554
711	16153	6534
712	16180	6513
713	16205	6491
714	16235	6471
715	16265	6451
716	16292	6430
717	16320	6410
718	16352	6391
719	16382	6371
720	16407	6349
721	16431	6326
722	16454	6304
723	16476	6281
724	16498	6257
725	16519	6234
726	16541	6211
727	16562	6188
728	16586	6165
729	16609	6143
730	16634	6121
731	16660	6099
732	16682	6076
733	16709	6055
734	16731	6032
735	16753	6009
736	16776	5986
737	16798	5963
738	16818	5939
739	16838	5916
740	16857	5892
741	16878	5868
742	16899	5845
743	16920	5822
744	16940	5798
745	16975	5779
746	16996	5756
747	17019	5733
748	17041	5710
749	17061	5687
750	17082	5663
751	17102	5640
752	17125	5617
753	17146	5594
754	17167	5570
755	17188	5547
756	17211	5525
