data	t_cv_56337500	t_ct_56337500	t_vz_56337500
2017-02-03	18.4	138.29166666666666	17.89166666666667
2017-02-04	7.6	143.41666666666666	21.683333333333334
2017-02-05	14.5	150.08333333333334	28.958333333333332
2017-02-06	3.4	164.25	44.525
2017-02-07	0.6	173.20833333333334	57.145833333333336
2017-02-08	32.0	181.08333333333334	67.8625
2017-02-09	14.8	155.91666666666666	34.920833333333334
2017-02-10	4.7	160.20833333333334	39.666666666666664
2017-02-11	0.0	152.83333333333334	31.28333333333333
2017-02-12	0.3	146.08333333333334	24.204166666666666
2017-02-13	0.3	139.54166666666666	18.366666666666667
2017-02-14	0.3	134.04166666666666	13.829166666666667
2017-02-15	0.3	134.875	14.416666666666666
2017-02-16	0.0	134.125	13.870833333333335
2017-02-17	0.0	131.04166666666666	11.629166666666668
