dia	mes	ano	vazao
1	5	2021	526.445
30	4	2021	522.261
29	4	2021	515.315
28	4	2021	504.275
27	4	2021	493.325
26	4	2021	501.529
25	4	2021	500.158
24	4	2021	512.546
23	4	2021	512.546
22	4	2021	508.404
21	4	2021	512.546
20	4	2021	515.315
19	4	2021	525.049
18	4	2021	530.642
17	4	2021	534.852
16	4	2021	540.484
15	4	2021	551.816
14	4	2021	561.804
13	4	2021	568.979
12	4	2021	581.982
11	4	2021	593.632
10	4	2021	593.632
9	4	2021	598.024
8	4	2021	615.712
7	4	2021	642.608
6	4	2021	654.701
5	4	2021	647.133
4	4	2021	629.106
3	4	2021	605.37
2	4	2021	566.105
1	4	2021	546.139
31	3	2021	541.896
30	3	2021	548.974
29	3	2021	557.515
28	3	2021	557.515
27	3	2021	560.372
26	3	2021	580.531
25	3	2021	589.253
24	3	2021	599.491
23	3	2021	614.231
22	3	2021	632.097
21	3	2021	639.599
20	3	2021	651.67
19	3	2021	693.038
18	3	2021	729.032
17	3	2021	788.369
16	3	2021	881.473
15	3	2021	945.122
14	3	2021	989.071
13	3	2021	992.62
12	3	2021	964.366
11	3	2021	926.024
10	3	2021	936.423
9	3	2021	871.31
8	3	2021	814.568
7	3	2021	849.445
6	3	2021	922.568
5	3	2021	1037.38
4	3	2021	1172.301
3	3	2021	1307.452
2	3	2021	1476.884
1	3	2021	1637.927
28	2	2021	1541.367
27	2	2021	1623.395
26	2	2021	1979.367
25	2	2021	2405.457
24	2	2021	2459.657
23	2	2021	2212.887
22	2	2021	2125.356
21	2	2021	2160.853
20	2	2021	1726.153
19	2	2021	1476.884
18	2	2021	1359.059
17	2	2021	1202.7
16	2	2021	926.024
15	2	2021	985.527
14	2	2021	1151.573
13	2	2021	1387.16
12	2	2021	1333.161
11	2	2021	1260.487
10	2	2021	1393.21
9	2	2021	1119.814
8	2	2021	783.493
7	2	2021	618.679
6	2	2021	527.843
5	2	2021	508.404
4	2	2021	512.546
3	2	2021	512.546
2	2	2021	515.315
1	2	2021	513.93
31	1	2021	500.158
30	1	2021	494.689
29	1	2021	500.158
28	1	2021	508.404
27	1	2021	513.93
26	1	2021	534.852
25	1	2021	553.238
24	1	2021	581.982
23	1	2021	630.601
22	1	2021	668.408
21	1	2021	710.167
20	1	2021	759.283
19	1	2021	839.424
18	1	2021	896.801
17	1	2021	936.423
16	1	2021	1068.241
15	1	2021	1138.455
14	1	2021	1044.61
13	1	2021	987.299
12	1	2021	812.922
11	1	2021	836.093
10	1	2021	896.801
9	1	2021	967.881
8	1	2021	1059.129
7	1	2021	1153.451
6	1	2021	1108.685
5	1	2021	847.771
4	1	2021	630.601
3	1	2021	685.305
2	1	2021	841.091
1	1	2021	1031.969
31	12	2020	1093.913
30	12	2020	1026.569
29	12	2020	1062.77
28	12	2020	1252.723
27	12	2020	1307.452
26	12	2020	1373.083
25	12	2020	1409.391
24	12	2020	1295.65
23	12	2020	1276.07
22	12	2020	1075.552
21	12	2020	939.899
20	12	2020	989.071
19	12	2020	1021.18
18	12	2020	1092.071
17	12	2020	1210.345
16	12	2020	1423.608
15	12	2020	1585.639
14	12	2020	1577.17
13	12	2020	1401.292
12	12	2020	1421.574
11	12	2020	1444.011
10	12	2020	1254.662
9	12	2020	1093.913
8	12	2020	1033.771
7	12	2020	903.645
6	12	2020	867.933
5	12	2020	846.099
4	12	2020	846.099
3	12	2020	807.988
2	12	2020	644.115
1	12	2020	656.219
30	11	2020	677.605
29	11	2020	707.041
28	11	2020	746.489
27	11	2020	778.628
26	11	2020	824.477
25	11	2020	867.933
24	11	2020	920.841
23	11	2020	1026.569
22	11	2020	1177.978
21	11	2020	1285.846
20	11	2020	1239.179
19	11	2020	952.103
18	11	2020	929.485
17	11	2020	931.218
16	11	2020	804.706
15	11	2020	740.123
14	11	2020	663.827
13	11	2020	647.133
12	11	2020	663.827
11	11	2020	685.305
10	11	2020	694.589
9	11	2020	707.041
8	11	2020	741.713
7	11	2020	796.521
6	11	2020	898.51
5	11	2020	1082.882
4	11	2020	1433.796
3	11	2020	1543.465
2	11	2020	1329.193
1	11	2020	1108.685
31	10	2020	1123.533
30	10	2020	1123.533
29	10	2020	1149.695
28	10	2020	1053.676
27	10	2020	908.791
26	10	2020	917.392
25	10	2020	900.22
