dia	mes	ano	vazao
22	11	2021	1058.222
21	11	2021	769.194
20	11	2021	762.833
19	11	2021	807.713
18	11	2021	1012.648
16	11	2021	1348.681
15	11	2021	1665.083
14	11	2021	1693.778
13	11	2021	1665.083
12	11	2021	1348.681
11	11	2021	772.381
10	11	2021	690.93
9	11	2021	766.012
8	11	2021	1016.131
7	11	2021	1295.564
6	11	2021	1795.257
5	11	2021	1867.189
4	11	2021	1040.617
3	11	2021	769.194
2	11	2021	525.843
1	11	2021	383.696
31	10	2021	411.996
30	10	2021	406.802
29	10	2021	486.902
28	10	2021	525.843
27	10	2021	571.516
26	10	2021	597.742
25	10	2021	690.93
24	10	2021	947.219
23	10	2021	1125.986
22	10	2021	998.756
21	10	2021	690.93
20	10	2021	545.673
19	10	2021	366.029
18	10	2021	492.405
17	10	2021	583.125
16	10	2021	750.164
15	10	2021	694.008
14	10	2021	406.802
13	10	2021	430.342
12	10	2021	348.633
11	10	2021	265.904
10	10	2021	221.997
9	10	2021	270.433
8	10	2021	215.635
7	10	2021	166.961
6	10	2021	144.18
5	10	2021	151.653
4	10	2021	142.33
3	10	2021	142.33
2	10	2021	142.33
1	10	2021	155.435
30	9	2021	157.337
29	9	2021	170.861
28	9	2021	174.791
27	9	2021	165.021
26	9	2021	165.021
25	9	2021	168.907
24	9	2021	168.907
23	9	2021	161.165
22	9	2021	155.435
21	9	2021	149.773
20	9	2021	178.75
19	9	2021	159.247
18	9	2021	142.33
17	9	2021	198.966
16	9	2021	151.653
15	9	2021	184.741
14	9	2021	147.901
13	9	2021	196.913
12	9	2021	196.913
11	9	2021	194.867
10	9	2021	194.867
9	9	2021	205.166
8	9	2021	211.428
7	9	2021	213.528
6	9	2021	215.635
5	9	2021	228.419
4	9	2021	209.334
3	9	2021	196.913
2	9	2021	226.272
1	9	2021	192.828
31	8	2021	196.913
30	8	2021	211.428
29	8	2021	198.966
28	8	2021	209.334
27	8	2021	205.166
26	8	2021	209.334
25	8	2021	215.635
24	8	2021	215.635
23	8	2021	213.528
22	8	2021	226.272
21	8	2021	230.572
20	8	2021	224.131
19	8	2021	232.733
18	8	2021	205.166
17	8	2021	207.247
16	8	2021	221.997
15	8	2021	198.966
14	8	2021	194.867
13	8	2021	192.828
12	8	2021	209.334
11	8	2021	188.77
10	8	2021	201.026
9	8	2021	198.966
8	8	2021	194.867
7	8	2021	198.966
6	8	2021	228.419
5	8	2021	234.899
4	8	2021	192.828
3	8	2021	194.867
2	8	2021	207.247
1	8	2021	198.966
31	7	2021	188.77
30	7	2021	190.796
29	7	2021	184.741
28	7	2021	201.026
27	7	2021	213.528
26	7	2021	226.272
25	7	2021	221.997
24	7	2021	228.419
23	7	2021	232.733
22	7	2021	230.572
21	7	2021	211.428
20	7	2021	232.733
19	7	2021	221.997
18	7	2021	219.87
17	7	2021	194.867
16	7	2021	211.428
15	7	2021	232.733
14	7	2021	254.688
13	7	2021	215.635
12	7	2021	230.572
11	7	2021	346.17
10	7	2021	272.707
9	7	2021	305.182
8	7	2021	239.252
7	7	2021	254.688
6	7	2021	250.246
5	7	2021	261.399
4	7	2021	256.919
3	7	2021	259.155
2	7	2021	254.688
1	7	2021	221.997
1	5	2021	
30	4	2021	341.262
29	4	2021	419.827
28	4	2021	401.63
27	4	2021	348.633
26	4	2021	446.271
25	4	2021	432.983
24	4	2021	422.448
23	4	2021	422.448
22	4	2021	427.705
21	4	2021	417.211
20	4	2021	422.448
19	4	2021	417.211
18	4	2021	417.211
17	4	2021	427.705
