ano	mes	dia	chuva
2019	7	23	0.0
2019	7	22	0.0
2019	7	21	0.0
2019	7	20	0.0
2019	7	19	0.0
2019	7	18	0.0
2019	7	17	0.0
2019	7	16	0.0
2019	7	15	0.0
2019	7	14	0.0
2019	7	13	0.0
2019	7	12	0.0
2019	7	11	0.0
2019	7	10	0.0
2019	7	9	0.0
2019	7	8	0.0
2019	7	7	0.0
2019	7	6	0.0
2019	7	5	6.6
2019	7	4	0.0
2019	7	3	0.0
2019	7	2	0.0
2019	7	1	0.0
2019	6	30	0.0
2019	6	29	0.0
2019	6	28	0.0
2019	6	27	0.0
2019	6	26	0.0
2019	6	25	0.0
2019	6	24	0.0
2019	6	23	0.0
2019	6	22	0.0
2019	6	21	0.0
2019	6	20	0.0
2019	6	19	0.0
2019	6	18	0.0
2019	6	17	0.0
2019	6	16	0.0
2019	6	15	0.0
2019	6	14	0.0
2019	6	13	0.0
2019	6	12	0.0
2019	6	11	0.0
2019	6	10	0.0
2019	6	9	0.0
2019	6	8	0.0
2019	6	7	0.0
2019	6	6	0.0
2019	6	5	0.0
2019	6	4	0.0
2019	6	3	3.4
2019	6	2	0.0
2019	6	1	0.0
2019	5	31	0.0
2019	5	30	0.0
2019	5	29	0.0
2019	5	28	0.0
2019	5	27	0.0
2019	5	26	0.0
2019	5	25	0.0
2019	5	24	0.0
2019	5	23	0.0
2019	5	22	0.0
2019	5	21	0.0
2019	5	20	0.0
2019	5	19	0.0
2019	5	18	0.0
2019	5	17	0.0
2019	5	16	0.0
2019	5	15	0.0
2019	5	14	0.0
2019	5	13	0.0
2019	5	12	0.0
2019	5	11	0.0
2019	5	10	0.0
2019	5	9	0.0
2019	5	8	0.0
2019	5	7	0.0
2019	5	6	0.0
2019	5	5	0.0
2019	5	4	0.0
2019	5	3	0.0
2019	5	2	3.8
2019	5	1	0.0
2019	4	30	7.2
2019	4	29	0.0
2019	4	28	0.0
2019	4	27	0.0
2019	4	26	0.0
2019	4	25	0.0
2019	4	24	0.0
2019	4	23	0.0
2019	4	22	0.0
2019	4	21	0.0
2019	4	20	0.0
2019	4	19	0.0
2019	4	18	0.0
2019	4	17	0.0
2019	4	16	0.0
2019	4	15	0.0
2019	4	14	
2019	4	13	3.6
2019	4	12	0.0
2019	4	11	0.0
2019	4	10	0.0
2019	4	9	0.0
2019	4	8	26.4
2019	4	7	0.0
2019	4	6	0.0
2019	4	5	0.0
2019	4	4	0.0
2019	4	3	0.0
2019	4	2	0.0
2019	4	1	0.0
2019	3	31	0.0
2019	3	30	0.0
2019	3	29	0.0
2019	3	28	0.0
2019	3	27	0.0
2019	3	26	0.0
2019	3	25	0.0
2019	3	24	0.0
2019	3	23	0.0
2019	3	22	0.0
2019	3	21	12.1
2019	3	20	0.0
2019	3	19	0.0
2019	3	18	17.9
2019	3	17	0.0
2019	3	16	0.0
2019	3	15	0.0
2019	3	14	0.0
2019	3	13	0.0
2019	3	12	0.0
2019	3	11	0.0
2019	3	10	18.6
2019	3	9	1.2
2019	3	8	0.0
2019	3	7	0.0
2019	3	6	0.0
2019	3	5	34.2
2019	3	4	0.0
2019	3	3	0.0
2019	3	2	11.3
2019	3	1	0.0
2019	2	28	
2019	2	27	0.8
2019	2	26	0.0
2019	2	25	0.0
2019	2	24	0.0
2019	2	23	0.0
2019	2	22	
2019	2	21	6.2
2019	2	20	3.3
2019	2	19	0.0
2019	2	18	0.0
2019	2	17	0.0
2019	2	16	2.1
2019	2	15	
2019	2	14	7.3
2019	2	13	8.4
2019	2	12	0.0
2019	2	11	0.0
2019	2	10	0.0
2019	2	9	0.0
2019	2	8	0.0
2019	2	7	0.0
2019	2	6	0.0
2019	2	5	0.0
2019	2	4	0.0
2019	2	3	0.0
2019	2	2	0.0
2019	2	1	0.0
2019	1	31	0.0
2019	1	30	0.0
2019	1	29	0.0
2019	1	28	0.0
2019	1	27	21.6
2019	1	26	0.0
2019	1	25	22.4
2019	1	24	0.0
2019	1	23	5.4
2019	1	22	0.0
2019	1	21	0.0
2019	1	20	0.0
2019	1	19	4.1
