ano	mes	dia	chuva
2019	10	24	4.4
2019	10	23	10.9
2019	10	22	5.6
2019	10	21	0.0
2019	10	20	0.3
2019	10	19	0.0
2019	10	18	0.0
2019	10	17	0.0
2019	10	16	0.0
2019	10	15	0.0
2019	10	14	0.0
2019	10	13	0.0
2019	10	12	0.0
2019	10	11	0.0
2019	10	10	0.0
2019	10	9	0.0
2019	10	8	0.0
2019	10	7	0.0
2019	10	6	0.0
2019	10	5	9.5
2019	10	4	0.0
2019	10	3	0.0
2019	10	2	0.0
2019	10	1	0.0
2019	9	30	0.0
2019	9	29	0.0
2019	9	28	1.1
2019	9	27	21.7
2019	9	26	0.0
2019	9	25	0.0
2019	9	24	0.0
2019	9	23	0.0
2019	9	22	0.0
2019	9	21	0.0
2019	9	20	0.0
2019	9	19	0.0
2019	9	18	0.0
2019	9	17	0.0
2019	9	16	0.0
2019	9	15	0.0
2019	9	14	0.0
2019	9	13	0.0
2019	9	12	0.0
2019	9	11	0.0
2019	9	10	0.0
2019	9	9	0.0
2019	9	8	0.0
2019	9	7	0.0
2019	9	6	0.0
2019	9	5	0.0
2019	9	4	0.0
2019	9	3	0.0
2019	9	2	0.0
2019	9	1	0.0
2019	8	31	0.0
2019	8	30	0.0
2019	8	29	0.0
2019	8	28	0.0
2019	8	27	0.0
2019	8	26	0.0
2019	8	25	7.3
2019	8	24	3.0
2019	8	23	0.0
2019	8	22	0.0
2019	8	21	0.0
2019	8	20	0.0
2019	8	19	0.0
2019	8	18	0.0
2019	8	17	0.0
2019	8	16	0.0
2019	8	15	0.0
2019	8	14	0.0
2019	8	13	0.0
2019	8	12	0.0
2019	8	11	0.0
2019	8	10	0.0
2019	8	9	0.0
2019	8	8	0.0
2019	8	7	0.0
2019	8	6	0.0
2019	8	5	0.0
2019	8	4	0.0
2019	8	3	0.0
2019	8	2	0.0
2019	8	1	0.0
2019	7	31	0.0
2019	7	30	0.0
2019	7	29	0.0
2019	7	28	0.0
2019	7	27	0.0
2019	7	26	0.0
2019	7	25	0.0
2019	7	24	0.5
2019	7	23	0.0
2019	7	22	0.9
2019	7	21	0.0
2019	7	20	0.0
2019	7	19	0.0
2019	7	18	0.0
2019	7	17	0.0
2019	7	16	0.0
2019	7	15	0.0
2019	7	14	0.0
2019	7	13	0.0
2019	7	12	0.0
2019	7	11	0.0
2019	7	10	0.0
2019	7	9	0.0
2019	7	8	0.0
2019	7	7	0.0
2019	7	6	0.0
2019	7	5	0.0
2019	7	4	0.0
2019	7	3	0.0
2019	7	2	0.0
2019	7	1	0.0
2019	6	30	0.0
2019	6	29	0.0
2019	6	28	0.0
2019	6	27	0.0
2019	6	26	0.0
2019	6	25	0.0
2019	6	24	0.8
2019	6	23	0.0
2019	6	22	0.0
2019	6	21	0.0
2019	6	20	0.0
2019	6	19	0.0
2019	6	18	0.0
2019	6	17	0.0
2019	6	16	0.0
2019	6	15	0.0
2019	6	14	2.5
2019	6	13	0.0
2019	6	12	0.5
2019	6	11	0.0
2019	6	10	0.0
2019	6	9	0.0
2019	6	8	0.0
2019	6	7	0.0
2019	6	6	0.0
2019	6	5	0.0
2019	6	4	0.0
2019	6	3	0.0
2019	6	2	0.0
2019	6	1	0.0
2019	5	31	0.0
2019	5	30	0.0
2019	5	29	0.0
2019	5	28	0.0
2019	5	27	0.0
2019	5	26	0.0
2019	5	25	0.0
2019	5	24	0.0
2019	5	23	0.0
2019	5	22	0.0
2019	5	21	0.0
2019	5	20	0.0
2019	5	19	4.2
2019	5	18	1.5
2019	5	17	0.0
2019	5	16	15.6
2019	5	15	0.5
2019	5	14	0.0
2019	5	13	0.0
2019	5	12	0.0
2019	5	11	0.0
2019	5	10	0.0
2019	5	9	13.8
2019	5	8	0.0
2019	5	7	0.0
2019	5	6	0.0
2019	5	5	0.0
2019	5	4	0.0
2019	5	3	0.0
2019	5	2	0.0
2019	5	1	0.0
2019	4	30	0.0
2019	4	29	0.0
2019	4	28	0.0
2019	4	27	0.0
2019	4	26	0.0
2019	4	25	14.3
2019	4	24	0.0
2019	4	23	0.0
2019	4	22	0.0
2019	4	21	0.0
2019	4	20	0.0
2019	4	19	0.0
2019	4	18	3.5
2019	4	17	1.8
2019	4	16	9.2
2019	4	15	0.0
2019	4	14	0.0
2019	4	13	0.0
2019	4	12	0.0
2019	4	11	2.0
2019	4	10	27.4
2019	4	9	0.0
2019	4	8	0.0
2019	4	7	0.0
2019	4	6	0.0
2019	4	5	0.0
2019	4	4	0.0
2019	4	3	0.0
2019	4	2	0.0
2019	4	1	2.6
2019	3	31	26.1
2019	3	30	0.0
2019	3	29	0.0
2019	3	28	0.0
2019	3	27	0.0
2019	3	26	0.0
2019	3	25	0.0
2019	3	24	0.0
2019	3	23	1.7
2019	3	22	0.0
2019	3	21	13.1
2019	3	20	4.8
2019	3	19	11.8
2019	3	18	0.0
2019	3	17	10.6
2019	3	16	16.5
2019	3	15	0.0
2019	3	14	0.0
2019	3	13	0.0
2019	3	12	0.0
2019	3	11	0.0
2019	3	10	0.0
2019	3	9	0.0
2019	3	8	0.0
2019	3	7	0.0
2019	3	6	4.8
2019	3	5	0.0
2019	3	4	0.0
2019	3	3	0.0
2019	3	2	0.0
2019	3	1	4.4
2019	2	28	0.0
2019	2	27	38.9
2019	2	26	0.0
2019	2	25	0.0
2019	2	24	0.0
2019	2	23	0.0
2019	2	22	0.0
2019	2	21	7.2
2019	2	20	0.0
2019	2	19	17.9
2019	2	18	0.0
2019	2	17	8.5
2019	2	16	0.0
2019	2	15	0.0
2019	2	14	3.5
2019	2	13	0.0
2019	2	12	0.0
2019	2	11	0.0
2019	2	10	0.0
2019	2	9	46.4
2019	2	8	27.0
2019	2	7	26.8
2019	2	6	12.8
2019	2	5	28.0
2019	2	4	0.0
2019	2	3	0.0
2019	2	2	0.0
2019	2	1	0.0
2019	1	31	0.0
2019	1	30	0.0
2019	1	29	0.0
2019	1	28	0.0
2019	1	27	0.0
2019	1	26	0.0
2019	1	25	0.0
2019	1	24	0.0
2019	1	23	0.0
2019	1	22	0.0
2019	1	21	0.0
2019	1	20	0.0
2019	1	19	0.0
2019	1	18	0.0
2019	1	17	0.0
2019	1	16	0.0
2019	1	15	0.0
2019	1	14	0.0
2019	1	13	0.0
2019	1	12	0.0
2019	1	11	0.0
2019	1	10	0.0
2019	1	9	0.0
2019	1	8	0.0
2019	1	7	0.0
2019	1	6	0.0
2019	1	5	0.0
2019	1	4	0.0
2019	1	3	0.0
2019	1	2	0.0
2019	1	1	33.0
2018	12	31	25.4
2018	12	30	39.3
2018	12	29	14.4
2018	12	28	10.7
2018	12	27	9.6
2018	12	26	0.7
2018	12	25	59.5
2018	12	24	0.0
2018	12	23	0.0
2018	12	22	0.0
2018	12	21	0.0
2018	12	20	0.0
2018	12	19	0.0
2018	12	18	0.0
2018	12	17	0.0
2018	12	16	0.0
2018	12	15	0.0
2018	12	14	0.0
2018	12	13	0.0
2018	12	12	2.3
2018	12	11	1.8
2018	12	10	0.0
2018	12	9	0.7
2018	12	8	22.5
2018	12	7	0.0
2018	12	6	0.0
2018	12	5	0.0
2018	12	4	22.8
2018	12	3	30.0
2018	12	2	2.8
2018	12	1	0.0
2018	10	31	0.0
2018	10	30	1.1
2018	10	29	0.0
2018	10	28	6.1
2018	10	27	10.2
2018	10	26	20.8
2018	10	25	0.0
2018	10	24	0.0
2018	10	23	0.0
2018	10	22	0.0
2018	10	21	0.0
2018	10	20	1.8
2018	10	19	6.0
2018	10	18	0.0
2018	10	17	0.4
2018	10	16	10.3
2018	10	15	3.5
2018	10	14	0.0
2018	10	13	0.0
2018	10	12	0.0
2018	10	11	0.0
2018	10	10	0.0
2018	10	9	0.0
2018	10	8	3.7
2018	10	7	0.2
2018	10	6	0.0
2018	10	5	0.0
2018	10	4	0.0
2018	10	3	0.0
2018	10	2	0.0
2018	10	1	0.0
2018	9	30	0.0
2018	9	29	0.0
2018	9	28	0.0
2018	9	27	0.0
2018	9	26	0.0
2018	9	25	0.0
2018	9	24	0.0
2018	9	23	0.0
2018	9	22	0.0
2018	9	21	2.6
2018	9	20	0.3
2018	9	19	2.8
2018	9	18	2.5
2018	9	17	1.3
2018	9	16	0.0
2018	9	15	0.0
2018	9	14	0.0
2018	9	13	0.0
2018	9	12	0.0
2018	9	11	0.0
2018	9	10	0.0
2018	9	9	0.0
2018	9	8	0.0
2018	9	7	0.0
2018	9	6	18.7
2018	9	5	0.0
2018	9	4	0.0
2018	9	3	0.0
2018	9	2	0.0
2018	9	1	0.0
2018	8	31	1.2
2018	8	30	0.0
2018	8	29	0.0
2018	8	28	0.0
2018	8	27	0.4
2018	8	26	0.0
2018	8	25	0.0
2018	8	24	0.0
2018	8	23	0.0
2018	8	22	0.0
2018	8	21	0.0
2018	8	20	0.0
2018	8	19	0.0
