ds	y	chuva1	vazao1	chuva2	vazao2	chuva3	vazao3	chuva4	vazao4	chuva5	vazao5	chuva6	vazao6
2016-11-04	39.517	0.0	14.145833333333334	0.3	13.670833333333333	0.0	12.391666666666667			3.1	32.04545454545455		16.621
2016-11-03	35.41	0.0	16.297916666666666	0.0	19.27083333333333	0.0	12.604166666666666			0.0	34.86666666666667		17.482
2016-11-02	43.718	0.0	19.63421052631579	0.0	15.945833333333333	0.0	13.0125			0.0	32.666666666666664		19.76
2016-11-01	39.517	0.0	18.90625	0.0	21.860869565217392	0.0	12.183333333333332			0.0	35.050000000000004		22.218
2016-10-31	50.186	0.0	15.967708333333334	0.0	15.641666666666666	0.0	11.891666666666666			0.0	32.05		22.218
2016-10-30	49.095	0.0	21.93541666666667	0.0	24.756521739130434	0.0	12.3875			0.3	114.49313326555568		22.474
2016-10-29	52.937	0.2	22.385416666666668	1.5	21.55	1.2	12.008333333333333			10.6	114.49313326555568		26.541
2016-10-28	46.928	0.8	19.58333333333333	7.8	23.079166666666666	7.0	12.3375			53.1	34.69		27.407
2016-10-27	48.551	0.0	19.78125	5.8	19.630434782608692	3.0	13.0625			0.0	35.50434782608696		26.541
2016-10-26	55.159	0.0	24.344791666666666	0.0	25.875	0.0	13.275			0.0	38.65416666666667		25.974
2016-10-25	51.283	0.0	27.47395833333333	0.0	30.504166666666663	0.0	14.641666666666667			0.0	40.73478260869565		24.049
2016-10-24	48.551	0.0	23.46770833333333	0.0	22.954166666666666	0.0	15.870833333333332			0.0	37.79583333333333		20.721
2016-10-23	40.037	0.2	20.510416666666668	0.0	20.804166666666667	0.0	15.358333333333334			0.0	35.30869565217392		17.702
2016-10-22	47.468	11.6	18.59375	6.199999999999999	15.554166666666667	1.6	13.654166666666669			16.900000000000002	31.91304347826087		22.474
2016-10-21	36.938	0.0	17.980208333333334	0.0	20.42083333333333	0.0	13.154166666666669			0.0	35.11304347826087		24.319
2016-10-20	45.853	0.0	19.310416666666665	0.0	16.05	0.0	14.858333333333334			0.0	32.5304347826087		26.541
2016-10-19	49.095	0.0	19.98125	0.0	22.266666666666666	0.0	15.633333333333333			0.0	36.88181818181818		24.59
2016-10-18	42.659	0.0	24.478125	0.0	25.8625	0.0	16.470833333333335			0.0	37.44166666666667		24.319
2016-10-17	45.317	0.0	22.184375	0.0	21.476923076923075	0.0	16.792307692307695			0.0	33.9923076923077		18.827
2016-10-16	48.551	0.0	17.142391304347825										17.924
2016-10-15	40.037	0.0	24.001041666666666										18.827
2016-10-14	46.928	0.0	22.308333333333334										20.721
2016-10-13	49.095	0.0	21.09375										22.732
2016-10-12	54.046	0.0	25.53125										25.138
2016-10-11	55.718	0.0	27.95104166666667										26.541
2016-10-10	59.663	0.0	30.390625										29.192
