Data;Vazões
28/06/16;4,657
29/06/16;4,657
30/06/16;4,657
01/07/16;4,657
02/07/16;4,657
03/07/16;4,521
04/07/16;4,521
05/07/16;4,386
06/07/16;4,386
07/07/16;4,386
08/07/16;4,252
09/07/16;4,118
10/07/16;4,118
11/07/16;4,118
12/07/16;4,118
13/07/16;4,118
14/07/16;4,118
15/07/16;4,052
16/07/16;4,052
17/07/16;3,92
18/07/16;3,854
19/07/16;3,854
20/07/16;3,854
21/07/16;3,854
22/07/16;3,986
23/07/16;3,986
24/07/16;3,92
25/07/16;3,854
26/07/16;3,854
27/07/16;3,723
28/07/16;3,723
29/07/16;3,723
30/07/16;3,723
31/07/16;3,723
01/08/16;3,723
02/08/16;3,657
03/08/16;3,463
04/08/16;3,723
05/08/16;3,723
06/08/16;3,592
07/08/16;3,592
08/08/16;3,592
09/08/16;3,592
10/08/16;3,592
11/08/16;3,592
12/08/16;3,592
13/08/16;3,592
14/08/16;3,335
15/08/16;3,335
16/08/16;3,335
17/08/16;3,399
18/08/16;3,463
19/08/16;3,723
20/08/16;3,463
21/08/16;5,416
22/08/16;6,34
23/08/16;4,521
24/08/16;3,92
25/08/16;3,723
26/08/16;3,592
27/08/16;3,528
28/08/16;3,335
29/08/16;3,335
30/08/16;3,207
31/08/16;3,207
01/09/16;3,463
02/09/16;3,463
03/09/16;3,335
04/09/16;3,335
05/09/16;3,207
06/09/16;3,207
07/09/16;3,144
08/09/16;3,207
09/09/16;3,463
10/09/16;3,335
11/09/16;3,207
12/09/16;3,207
13/09/16;3,018
14/09/16;2,955
15/09/16;2,955
16/09/16;3,018
17/09/16;3,081
18/09/16;3,081
19/09/16;4,052
20/09/16;3,592
21/09/16;3,271
22/09/16;3,399
23/09/16;3,592
24/09/16;3,271
25/09/16;3,144
26/09/16;3,528
27/09/16;3,399
28/09/16;3,399
29/09/16;3,271
30/09/16;3,144
01/10/16;4,118
02/10/16;4,118
03/10/16;3,657
04/10/16;4,657
05/10/16;5,911
06/10/16;5,627
07/10/16;4,386
08/10/16;3,986
09/10/16;3,463
10/10/16;4,589
11/10/16;4,931
12/10/16;3,92
13/10/16;3,592
14/10/16;5,839
15/10/16;15,188
16/10/16;9,603
17/10/16;5,769
18/10/16;4,657
19/10/16;4,052
20/10/16;3,788
21/10/16;3,723
22/10/16;4,118
23/10/16;4,657
24/10/16;3,986
25/10/16;3,592
26/10/16;3,92
27/10/16;3,657
28/10/16;3,854
29/10/16;3,592
30/10/16;3,463
31/10/16;3,335
01/11/16;3,271
02/11/16;4,521
03/11/16;3,788
04/11/16;7,438
05/11/16;5,416
06/11/16;4,386
07/11/16;4,252
08/11/16;4,521
09/11/16;4,052
10/11/16;8,112
11/11/16;6,268
12/11/16;5,277
13/11/16;22,909
14/11/16;13,141
15/11/16;13,272
16/11/16;7,587
17/11/16;7,142
18/11/16;7,142
19/11/16;6,485
20/11/16;5,839
21/11/16;5,416
22/11/16;5,069
23/11/16;4,931
24/11/16;4,931
25/11/16;4,657
26/11/16;4,657
27/11/16;4,453
28/11/16;4,319
29/11/16;4,521
30/11/16;6,196
01/12/16;7,438
02/12/16;5,207
03/12/16;4,725
04/12/16;6,053
05/12/16;5,346
06/12/16;4,521
07/12/16;4,252
08/12/16;4,052
09/12/16;4,453
10/12/16;4,589
11/12/16;6,849
12/12/16;4,999
13/12/16;5,138
14/12/16;5,069
15/12/16;9,491
16/12/16;7,961
17/12/16;5,416
18/12/16;4,999
19/12/16;4,931
20/12/16;5,911
21/12/16;4,999
22/12/16;9,336
23/12/16;6,125
24/12/16;5,416
25/12/16;4,793
26/12/16;4,453
27/12/16;4,386
28/12/16;4,386
29/12/16;4,386
30/12/16;4,118
31/12/16;4,252
01/01/17;7,29
02/01/17;5,911
03/01/17;4,931
04/01/17;5,346
05/01/17;5,069
06/01/17;5,207
07/01/17;4,862
08/01/17;7,29
09/01/17;5,627
10/01/17;6,63
11/01/17;7,438
12/01/17;6,412
13/01/17;7,886
14/01/17;8,873
15/01/17;6,776
16/01/17;6,849
17/01/17;5,839
18/01/17;5,557
19/01/17;6,268
20/01/17;13,272
21/01/17;8,339
22/01/17;7,364
23/01/17;8,873
24/01/17;7,364
25/01/17;9,258
26/01/17;8,112
27/01/17;10,406
28/01/17;21,038
29/01/17;9,603
30/01/17;8,339
31/01/17;7,662
01/02/17;7,29
02/02/17;7,961
03/02/17;7,811
04/02/17;8,567
05/02/17;10,406
06/02/17;7,961
07/02/17;7,142
08/02/17;33,251
09/02/17;10,173
10/02/17;8,415
11/02/17;8,188
12/02/17;8,567
13/02/17;8,188
14/02/17;7,069
15/02/17;6,849
16/02/17;6,63
17/02/17;6,485
18/02/17;6,485
19/02/17;6,196
20/02/17;5,911
21/02/17;5,839
22/02/17;5,769
23/02/17;5,627
24/02/17;5,698
25/02/17;6,34
26/02/17;5,769
27/02/17;6,053
28/02/17;5,982
01/03/17;6,196
02/03/17;5,557
03/03/17;6,196
04/03/17;8,797
05/03/17;8,263
06/03/17;7,961
07/03/17;8,873
08/03/17;7,513
09/03/17;8,72
10/03/17;7,29
11/03/17;6,268
12/03/17;5,839
13/03/17;5,769
14/03/17;5,698
15/03/17;6,776
16/03/17;5,911
17/03/17;5,627
18/03/17;6,703
19/03/17;11,242
20/03/17;14,489
21/03/17;8,567
22/03/17;7,069
23/03/17;6,703
24/03/17;6,485
25/03/17;6,053
26/03/17;6,053
27/03/17;5,769
28/03/17;5,769
29/03/17;7,069
30/03/17;6,412
31/03/17;6,776
01/04/17;6,268
02/04/17;6,412
03/04/17;5,769
04/04/17;5,698
05/04/17;5,486
06/04/17;5,346
07/04/17;5,627
08/04/17;7,069
09/04/17;5,839
10/04/17;5,486
11/04/17;5,346
12/04/17;5,769
13/04/17;7,513
14/04/17;7,587
15/04/17;5,911
16/04/17;5,557
17/04/17;5,698
18/04/17;8,339
19/04/17;6,34
20/04/17;5,698
21/04/17;5,486
22/04/17;5,557
23/04/17;6,703
24/04/17;6,412
25/04/17;5,698
26/04/17;5,416
27/04/17;6,196
28/04/17;6,849
29/04/17;6,412
30/04/17;5,839
01/05/17;5,627
02/05/17;5,486
03/05/17;5,346
04/05/17;5,207
05/05/17;5,138
06/05/17;5,769
07/05/17;5,346
08/05/17;5,138
09/05/17;5,069
10/05/17;4,931
11/05/17;5,069
12/05/17;5,911
13/05/17;5,486
14/05/17;4,931
15/05/17;4,793
16/05/17;4,793
17/05/17;4,793
18/05/17;4,793
19/05/17;6,557
20/05/17;7,961
21/05/17;5,839
22/05/17;7,216
23/05/17;6,34
24/05/17;5,416
25/05/17;5,138
26/05/17;5,069
27/05/17;4,931
28/05/17;4,931
29/05/17;4,862
30/05/17;4,793
31/05/17;4,793
01/06/17;4,725
02/06/17;4,521
03/06/17;4,521
04/06/17;4,521
05/06/17;4,521
06/06/17;4,589
07/06/17;4,657
08/06/17;4,521
09/06/17;4,386
10/06/17;4,589
11/06/17;4,453
12/06/17;4,252
13/06/17;4,453
14/06/17;4,793
15/06/17;4,589
16/06/17;4,453
17/06/17;4,252
18/06/17;4,252
19/06/17;4,252
20/06/17;4,521
21/06/17;5,769
22/06/17;5,069
23/06/17;4,386
24/06/17;4,319
25/06/17;4,252
26/06/17;4,252
27/06/17;4,118
28/06/17;3,986
29/06/17;3,986
30/06/17;3,986
01/07/17;3,986
02/07/17;4,118
03/07/17;5,982
04/07/17;5,069
05/07/17;4,319
06/07/17;4,052
07/07/17;3,986
08/07/17;3,986
09/07/17;3,854
10/07/17;3,854
11/07/17;3,723
12/07/17;3,723
13/07/17;3,723
14/07/17;3,723
15/07/17;3,723
16/07/17;3,592
17/07/17;3,592
18/07/17;3,592
19/07/17;3,92
20/07/17;3,788
21/07/17;3,657
22/07/17;3,592
23/07/17;3,592
24/07/17;3,528
25/07/17;3,463
26/07/17;3,463
27/07/17;3,399
28/07/17;3,335
29/07/17;3,335
30/07/17;3,335
31/07/17;3,271
01/08/17;3,207
02/08/17;3,207
03/08/17;3,207
04/08/17;3,271
05/08/17;4,589
06/08/17;4,725
07/08/17;3,657
08/08/17;3,463
09/08/17;3,335
10/08/17;3,335
11/08/17;3,335
12/08/17;3,335
13/08/17;3,207
14/08/17;3,207
15/08/17;3,144
16/08/17;3,399
17/08/17;3,986
18/08/17;4,252
19/08/17;4,386
20/08/17;3,986
21/08/17;5,557
22/08/17;6,268
23/08/17;4,725
24/08/17;4,657
25/08/17;3,723
26/08/17;3,528
27/08/17;3,335
28/08/17;3,271
29/08/17;3,207
30/08/17;3,144
31/08/17;3,081
01/09/17;3,207
02/09/17;3,335
03/09/17;3,207
04/09/17;3,081
05/09/17;3,081
06/09/17;3,081
07/09/17;3,018
08/09/17;2,893
09/09/17;2,83
10/09/17;2,83
11/09/17;2,83
12/09/17;2,707
13/09/17;2,707
14/09/17;2,707
15/09/17;2,584
16/09/17;2,584
17/09/17;2,584
18/09/17;2,584
19/09/17;2,584
20/09/17;2,584
21/09/17;2,584
22/09/17;2,584
23/09/17;2,463
24/09/17;2,463
25/09/17;2,463
26/09/17;2,463
27/09/17;2,463
28/09/17;2,463
29/09/17;2,463
30/09/17;4,319
01/10/17;4,453
02/10/17;3,207
03/10/17;3,018
04/10/17;3,081
05/10/17;2,893
06/10/17;2,707
07/10/17;2,523
08/10/17;2,584
09/10/17;2,584
10/10/17;2,523
11/10/17;2,463
12/10/17;2,463
13/10/17;2,402
14/10/17;2,342
15/10/17;2,402
16/10/17;3,018
17/10/17;2,768
18/10/17;2,584
19/10/17;2,402
20/10/17;2,223
21/10/17;2,283
22/10/17;2,402
23/10/17;2,463
